country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Denmark,1995,Aalborg Universitet (AAU),higher_education,215700000.0,DKK,krone,verified_override,original_pdf,1995 19941_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2005,Aalborg Universitet (AAU),higher_education,1026800000.0,DKK,krone,verified_override,original_pdf,20041_L1_som_vedtaget.pdf,86,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2009,Aalborg Universitet (AAU),higher_education,1300900000.0,DKK,krone,verified_override,original_pdf,A20080000330.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2010,Aalborg Universitet (AAU),higher_education,1417600000.0,DKK,krone,verified_override,original_pdf,A20090000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2013,Aalborg Universitet (AAU),higher_education,1793700000.0,DKK,krone,verified_override,original_pdf,A20120000330.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2014,Aalborg Universitet (AAU),higher_education,1899300000.0,DKK,krone,verified_override,original_pdf,A20130000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2015,Aalborg Universitet (AAU),higher_education,2052300000.0,DKK,krone,verified_override,original_pdf,A20140000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2017,Aalborg Universitet (AAU),higher_education,2038700000.0,DKK,krone,verified_override,original_pdf,A20160000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2018,Aalborg Universitet (AAU),higher_education,2102300000.0,DKK,krone,verified_override,original_pdf,A20170000230.pdf,104,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2019,Aalborg Universitet (AAU),higher_education,2087000000.0,DKK,krone,verified_override,original_pdf,AE2602.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,2020,Aalborg Universitet (AAU),higher_education,2080700000.0,DKK,krone,verified_override,original_pdf,AE2755 (3).pdf,107,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,2021,Aalborg Universitet (AAU),higher_education,2095500000.0,DKK,krone,verified_override,original_pdf,AE2845.pdf,110,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2022,Aalborg Universitet (AAU),higher_education,2139000000.0,DKK,krone,verified_override,original_pdf,AE2954.pdf,117,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,2025,Aalborg Universitet (AAU),higher_education,2408500000.0,DKK,krone,verified_override,original_pdf,AE3209.pdf,123,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
