country,year,section_code,section_name_en,program_code,program_description,line_description,amount_local,currency,rd_category,pillar,decision,confidence,source_file,page_number
Denmark,1979,§17,Ministry of Trade,53.01,Uddannelse af atomvidenskabsmænd i Danmark,53.01 Uddannelse af atomvidenskabsmænd i Danmark,3500000,DKK,direct_rd,Direct R&D,include,0.85,1979 9781_L1_som_vedtaget.pdf,85
Denmark,1983,§10,Ministry of Foreign Affairs,52.03,Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,52.03 Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,3479000,DKK,direct_rd,Direct R&D,review,0.85,1983 19821_L1_som_vedtaget.pdf,35
Denmark,1981,§11,Ministry of Agriculture,53.11,Tværfaglige projekter under Landbrugets samråd for forsk-,53.11 Tværfaglige projekter under Landbrugets samråd for forsk-,3440000,DKK,direct_rd,Direct R&D,review,0.8,1981 19801_L1_som_vedtaget.pdf,47
Denmark,1980,§14,Ministry of Housing,53.01,Forskning og oplysning 03. Byggestyrelsen m.v.,53.01 Forskning og oplysning 03. Byggestyrelsen m.v.,3290000,DKK,direct_rd,Direct R&D,review,0.9,1980 19792_L1_som_vedtaget.pdf,61
Denmark,1980,§14,Ministry of Housing,03.01,Byggestyrelsen,03.01 Byggestyrelsen,3290000,DKK,direct_rd,Direct R&D,review,0.95,1980 19792_L1_som_vedtaget.pdf,61
Denmark,1977,§17,Ministry of Trade,6.06,Forsøgsanlæg Risø,6.06 Forsøgsanlæg Risø,3250000,DKK,direct_rd,Direct R&D,review,0.95,1977 19762_L1_som_vedtaget.pdf,90
Denmark,1977,§17,Ministry of Trade,53.01,Uddannelse af atomvidenskabsmænd i Danmark,53.01 Uddannelse af atomvidenskabsmænd i Danmark,3250000,DKK,direct_rd,Direct R&D,include,0.85,1977 19762_L1_som_vedtaget.pdf,90
Denmark,1981,§10,Ministry of Foreign Affairs,52.03,Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,52.03 Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,3141000,DKK,direct_rd,Direct R&D,review,0.85,1981 19801_L1_som_vedtaget.pdf,44
Denmark,1980,§11,Ministry of Agriculture,53.11,Tværfaglige projekter under Landbrugets samråd for forsk-,53.11 Tværfaglige projekter under Landbrugets samråd for forsk-,3100000,DKK,direct_rd,Direct R&D,review,0.8,1980 19792_L1_som_vedtaget.pdf,39
Denmark,1982,§10,Ministry of Foreign Affairs,52.03,Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,52.03 Center for Udviklingsforskning 01.04. Midlertidige kommissioner og udvalg,3073000,DKK,direct_rd,Direct R&D,review,0.85,1982 19812_L1_som_vedtaget.pdf,35
Denmark,1976,§17,Ministry of Trade,53.01,Uddannelse af atomvidenskabsmænd i Danmark,53.01 Uddannelse af atomvidenskabsmænd i Danmark,2900000,DKK,direct_rd,Direct R&D,include,0.85,1976 19751_L100_som_vedtaget.pdf,93
Denmark,1979,§11,Ministry of Agriculture,53.11,Tværfaglige projekter under Landbrugets samråd for forsk-,53.11 Tværfaglige projekter under Landbrugets samråd for forsk-,2900000,DKK,direct_rd,Direct R&D,review,0.8,1979 9781_L1_som_vedtaget.pdf,39
Denmark,1984,§11,Ministry of Agriculture,53.01,Tværfaglige projekter under landbrugets samråd for forskning,53.01 Tværfaglige projekter under landbrugets samråd for forskning,2830000,DKK,direct_rd,Direct R&D,include,0.8,1984 19832_L1_som_vedtaget.pdf,50
Denmark,1984,§11,Ministry of Agriculture,53.06,Forskning og forsøg i forbindelse med landbrugets produk-,53.06 Forskning og forsøg i forbindelse med landbrugets produk-,2801000,DKK,direct_rd,Direct R&D,review,0.8,1984 19832_L1_som_vedtaget.pdf,50
Denmark,1978,§17,Ministry of Trade,6.06,Forsøgsanlæg Risø,6.06 Forsøgsanlæg Risø,2636000,DKK,direct_rd,Direct R&D,review,0.95,1978 19771_L101_som_vedtaget.pdf,83
Denmark,1975,§17,Ministry of Trade,63.09,Den europæiske organisation for rumforskning (ESRO) projekt,63.09 Den europæiske organisation for rumforskning (ESRO) projekt,2600000,DKK,direct_rd,Direct R&D,review,0.8,1975 19742_L1_som_vedtaget.pdf,95
Denmark,1976,§10,Ministry of Foreign Affairs,52.02,Forskningsvirksomhed 52.03. Institut for Udviklingsforskning,52.02 Forskningsvirksomhed 52.03. Institut for Udviklingsforskning,2500000,DKK,direct_rd,Direct R&D,review,0.85,1976 19751_L100_som_vedtaget.pdf,40
Denmark,1977,§10,Ministry of Foreign Affairs,52.01,Oplysningsvirksomhed,52.01 Oplysningsvirksomhed,2500000,DKK,direct_rd,Direct R&D,review,0.8,1977 19762_L1_som_vedtaget.pdf,39
Denmark,1983,§15,Ministry of Social Affairs,53.01,"Forsøgsvirksomhed m.v 53.04. Det kgl. Vajsenhus, København","53.01 Forsøgsvirksomhed m.v 53.04. Det kgl. Vajsenhus, København",2496000,DKK,direct_rd,Direct R&D,review,0.8,1983 19821_L1_som_vedtaget.pdf,69
