year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2005,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2007,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,Instituto Nacional de Salud (Colombia),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2007,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
2012,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,Colombian Institute of Geology and Mining,science_agency,168092662000.0,unit,COP,section_total,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,0.0,,,INSTITUTO COLOMBIANO DE GEOLOGÍA Y MINERÍA – INGEOMINAS A-INGRESOS CORRIENTES,covered_by_final_series,,,This institute is dedicated to geological and mining research.
2012,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,ICA (Instituto Colombiano Agropecuario),science_agency,31462186000.0,unit,COP,section_total,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,0.0,,,INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A-INGRESOS CORRIENTES,covered_by_final_series,,,
2012,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,3400000000.0,unit,COP,section_total,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,0.0,,,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM A-INGRESOS CORRIENTES",covered_by_final_series,,,
2012,INM (Instituto Nacional de Metrología),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,Instituto Nacional de Salud (Colombia),science_agency,2288700000.0,unit,COP,section_total,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,0.0,,,INSTITUTO NACIONAL DE SALUD (INS) A-INGRESOS CORRIENTES,covered_by_final_series,,,
2012,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2012,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,ICA (Instituto Colombiano Agropecuario),science_agency,33007894000.0,unit,COP,section_total,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,0.0,,,BIANO AGROPECUARIO (ICA),covered_by_final_series,,,
2013,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,41226290000.0,unit,COP,section_total,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,0.0,,,"ROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM",covered_by_final_series,,,
2013,INM (Instituto Nacional de Metrología),science_agency,807277000.0,unit,COP,section_total,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,0.0,,,NAL DE METROLOGÍA - INM,covered_by_final_series,,,
2013,Instituto Nacional de Salud (Colombia),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2013,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,ICA (Instituto Colombiano Agropecuario),science_agency,70533300000.0,unit,COP,section_total,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,-1.0,,,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),covered_by_final_series,,,
2014,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,8900415000.0,unit,COP,section_total,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,-1.0,,,IDEAM,covered_by_final_series,,,
2014,INM (Instituto Nacional de Metrología),science_agency,1200000000.0,unit,COP,section_total,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,-1.0,,,INSTITUTO NACIONAL DE METROLOGIA - INM,covered_by_final_series,,,
2014,Instituto Nacional de Salud (Colombia),science_agency,3990724000.0,unit,COP,section_total,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,-1.0,,,INSTITUTO NACIONAL DE SALUD (INS),covered_by_final_series,,,
2014,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2014,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
