dataset,country,year,series_name,canonical_name,category,research_role,research_role_note,observation_status,gap_type,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,diagnosis,action,series_notes
institutional_panel,New Zealand,2025,Catalyst Fund (New Zealand),Catalyst Fund (New Zealand),rd_fund,modern_portfolio_component,Modern portfolio component. International research collaboration fund.,observed,ok,41441000.0,dollar,NZD,line_item,2025_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2025_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_b985008ddcba__2025_Appropriation_Estimates_Act.txt.gz,Catalyst Fund,verified_against_compiled_series,"2,000 | Science, Innovation and Technology: | Catalyst Fund | 41,441 | Tourism and Hospitality: Ngā Haerenga, | The New Zealand Cycle Trail Fund",,none,
institutional_panel,New Zealand,2011,Crown Research Institutes (New Zealand),Crown Research Institutes (New Zealand),science_agency,transition_anchor,Transition-era portfolio anchor through explicit CRI core funding.,observed,ok,215145000.0,dollar,NZD,program_total,2011_Appropriation Estimates Act.pdf,48.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2011_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_815c4695074b__2011_Appropriation_Estimates_Act.txt.gz,Crown Research Institute Core Funding,verified_against_compiled_series,Biological Industries Research | CRI Capability Fund | Crown Research Institute Core Funding | Energy and Minerals Research | Engaging New Zealanders with Science and | Technology,,none,Explicit CRI core-funding rows only; avoids indirect vote components.
institutional_panel,New Zealand,2012,Crown Research Institutes (New Zealand),Crown Research Institutes (New Zealand),science_agency,transition_anchor,Transition-era portfolio anchor through explicit CRI core funding.,observed,ok,220145000.0,dollar,NZD,program_total,2012_Appropriation Estimates Act.pdf,45.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2012_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_ef18c8184c27__2012_Appropriation_Estimates_Act.txt.gz,Crown Research Institute Core Funding,verified_against_compiled_series,"35,272 | 233 | Non-departmental output | expenses | Biological Industries Research | 105,637 | Crown Research Institute Core | Funding | 220,145 | Energy and Minerals Research",,none,Explicit CRI core-funding rows only; avoids indirect vote components.
institutional_panel,New Zealand,2013,Crown Research Institutes (New Zealand),Crown Research Institutes (New Zealand),science_agency,transition_anchor,Transition-era portfolio anchor through explicit CRI core funding.,observed,ok,201622000.0,dollar,NZD,program_total,2013_Appropriation Estimates Act.pdf,45.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2013_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_f7828e074f81__2013_Appropriation_Estimates_Act.txt.gz,Crown Research Institute Core Funding,verified_against_compiled_series,"Development Contract | Management | 6,256 | Callaghan Innovation Strategic | Investment | 18,523 | Crown Research Institute Core | Funding | 201,622 | Energy and Minerals Research",,none,Explicit CRI core-funding rows only; avoids indirect vote components.
institutional_panel,New Zealand,2014,Crown Research Institutes (New Zealand),Crown Research Institutes (New Zealand),science_agency,transition_anchor,Transition-era portfolio anchor through explicit CRI core funding.,observed,ok,201622000.0,dollar,NZD,line_item,2014_Appropriation Estimates Act.pdf,30.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2014_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_b6ba75466563__2014_Appropriation_Estimates_Act.txt.gz,Crown Research Institute Core Funding,verified_against_compiled_series,"ment | 19,523 | Crown Research Institute Core Funding | 201,622 | Energy and Minerals Research | 11,645",,none,Explicit CRI core-funding rows only; avoids indirect vote components.
institutional_panel,New Zealand,2015,Crown Research Institutes (New Zealand),Crown Research Institutes (New Zealand),science_agency,transition_anchor,Transition-era portfolio anchor through explicit CRI core funding.,observed,ok,201622000.0,dollar,NZD,program_total,2015_Appropriation Estimates Act.pdf,8.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2015_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_5178008fefe9__2015_Appropriation_Estimates_Act.txt.gz,Science and Innovation: Crown Research Institute Core Funding,verified_against_compiled_series,"Science and Innovation: Building Business | Innovation | 32,378 | Science and Innovation: Business Research | and Development Contract Management | 7,750 | Science and Innovation: Crown Research | Institute Core Funding | 201,622 | Science and Innovation: Energy and",,none,Explicit CRI core-funding rows only; avoids indirect vote components.
institutional_panel,New Zealand,1975,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,gap,missing,,,,,,,,,,gap_in_final_series,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,reextract,Dedicated science agency in the pre-CRI era.
institutional_panel,New Zealand,1976,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,observed,ok,177645000.0,dollar,NZD,section_total,1976 aa19761976n145203.pdf,4.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/1976 aa19761976n145203.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_8952f9040fbb__1976_aa19761976n145203.txt.gz,Total for Scientific and Industrial Research,verified_against_compiled_series,Rural Banking and Finance Corporation | 27 | Scientific and Industrial Research (Programme I) | 28 | Security Intelligence Service | 29,,none,Dedicated science agency in the pre-CRI era.
institutional_panel,New Zealand,1977,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,gap,missing,,,,,,,,,,gap_in_final_series,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,reextract,Dedicated science agency in the pre-CRI era.
institutional_panel,New Zealand,1978,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,observed,ok,42785000.0,dollar,NZD,section_total,1978 aa19781978n84203.pdf,4.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/1978 aa19781978n84203.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_de5cd84ab03a__1978_aa19781978n84203.txt.gz,Total for Scientific and Industrial Research,verified_against_compiled_series,"228 | 27 | Scientific and Industrial Research · . | · . | 42,785 | 235",,none,Dedicated science agency in the pre-CRI era.
institutional_panel,New Zealand,1979,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,observed,ok,51090000.0,dollar,NZD,section_total,1979 aa19791979n45203.pdf,4.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/1979 aa19791979n45203.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_7986ef9d1a51__1979_aa19791979n45203.txt.gz,Total for Scientific and Industrial Research,verified_against_compiled_series,"240 | 27 | Scientific and Industrial Research | · . | · . | 51,090",,none,Dedicated science agency in the pre-CRI era.
institutional_panel,New Zealand,1980,DSIR (New Zealand),DSIR (New Zealand),science_agency,historical_anchor,Direct historical institution anchor. Use for DSIR-era institutional research.,observed,ok,65460000.0,dollar,NZD,section_total,1980 aa19801980n46203.pdf,263.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/1980 aa19801980n46203.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_6a7b044c3f78__1980_aa19801980n46203.txt.gz,Total for Scientific and Industrial Research,verified_against_compiled_series,"256 | 28 | Scientific and Industrial Research | 65,460 | 263 | 29",,none,Dedicated science agency in the pre-CRI era.
