country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Japan,2002,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,22842042000.0,JPY,yen,verified_override,original_pdf,2002 DL200211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2005,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,41670822000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2008,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,40834570000.0,JPY,yen,verified_override,original_pdf,2008 DL200811001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2010,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,39608141000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2011,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,60439000000.0,JPY,yen,verified_override,original_pdf,2011 DL201111001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,7893451000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,NEDO (New Energy and Industrial Technology Development Organization),innovation_instruments,12556204000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2005,NIMS (National Institute for Materials Science),science_agency,16125322000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2009,NIMS (National Institute for Materials Science),science_agency,15048647000.0,JPY,yen,verified_override,original_pdf,2009 DL200911001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2010,NIMS (National Institute for Materials Science),science_agency,14050726000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2012,NIMS (National Institute for Materials Science),science_agency,13481876000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2014,NIMS (National Institute for Materials Science),science_agency,12329191000.0,JPY,yen,verified_override,original_pdf,2014 DL201411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,NIMS (National Institute for Materials Science),science_agency,12020623000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2018,NIMS (National Institute for Materials Science),science_agency,13517272000.0,JPY,yen,verified_override,original_pdf,2018 DL201811001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2024,NIMS (National Institute for Materials Science),science_agency,14423539000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2002,National Institute for Environmental Studies,science_agency,9515867000.0,JPY,yen,verified_override,original_pdf,2002 DL200211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
