country,year,canonical_name,amount_local,currency,unit,item_type,source_file,page_number,verification_status,verification_note
Luxembourg,2021,LISER / CEPS-INSTEAD (Luxembourg),14000000.0,EUR,euro,verified_override,budget-de-l-Etat-2021.pdf,98.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2022,LISER / CEPS-INSTEAD (Luxembourg),14430000.0,EUR,euro,verified_override,budget-de-l-Etat-2022.pdf,91.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2023,LISER / CEPS-INSTEAD (Luxembourg),15210000.0,EUR,euro,verified_override,budget-de-l-etat-2023.pdf,90.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2024,LISER / CEPS-INSTEAD (Luxembourg),15820000.0,EUR,euro,verified_override,budget-de-letat-2024.pdf,199.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2025,LISER / CEPS-INSTEAD (Luxembourg),17190000.0,EUR,euro,verified_override,budget-de-letat-2025.pdf,190.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2008,LIST / CRP Henri Tudor (Luxembourg),17900000.0,EUR,euro,verified_override,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2009,LIST / CRP Henri Tudor (Luxembourg),18900000.0,EUR,euro,verified_override,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2010,LIST / CRP Henri Tudor (Luxembourg),20400000.0,EUR,euro,verified_override,budget-de-l-etat-2010.pdf,81.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2011,LIST / CRP Henri Tudor (Luxembourg),20400000.0,EUR,euro,verified_override,budget-de-l-etat-2011.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2012,LIST / CRP Henri Tudor (Luxembourg),22420000.0,EUR,euro,verified_override,budget-de-l-etat-2012.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2013,LIST / CRP Henri Tudor (Luxembourg),20030000.0,EUR,euro,verified_override,budget-de-l-etat-2013.pdf,76.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,LIST / CRP Henri Tudor (Luxembourg),22000000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,80.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2015,LIST / CRP Henri Tudor (Luxembourg),39000000.0,EUR,euro,verified_override,budget-de-l-etat-2015.pdf,79.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2016,LIST / CRP Henri Tudor (Luxembourg),39000000.0,EUR,euro,verified_override,budget-de-l-etat-2016.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2017,LIST / CRP Henri Tudor (Luxembourg),41229900.0,EUR,euro,verified_override,budget-de-l-etat-2017.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2018,LIST / CRP Henri Tudor (Luxembourg),41229900.0,EUR,euro,verified_override,budget-de-l-etat-2018.pdf,88.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2019,LIST / CRP Henri Tudor (Luxembourg),45040000.0,EUR,euro,verified_override,2019budget-de-l-Etat.pdf,86.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2020,LIST / CRP Henri Tudor (Luxembourg),47770000.0,EUR,euro,verified_override,budget-de-l-Etat-2020.pdf,82.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2021,LIST / CRP Henri Tudor (Luxembourg),51360000.0,EUR,euro,verified_override,budget-de-l-Etat-2021.pdf,98.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2022,LIST / CRP Henri Tudor (Luxembourg),52940000.0,EUR,euro,verified_override,budget-de-l-Etat-2022.pdf,91.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2023,LIST / CRP Henri Tudor (Luxembourg),53970000.0,EUR,euro,verified_override,budget-de-l-etat-2023.pdf,90.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2024,LIST / CRP Henri Tudor (Luxembourg),55500000.0,EUR,euro,verified_override,budget-de-letat-2024.pdf,199.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2025,LIST / CRP Henri Tudor (Luxembourg),57700000.0,EUR,euro,verified_override,budget-de-letat-2025.pdf,190.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2004,Université du Luxembourg,20391507.0,EUR,euro,verified_override,2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,80.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2005,Université du Luxembourg,31238340.0,EUR,euro,verified_override,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2006,Université du Luxembourg,44054340.0,EUR,euro,verified_override,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,85.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2007,Université du Luxembourg,48500000.0,EUR,euro,verified_override,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,83.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2008,Université du Luxembourg,58000000.0,EUR,euro,verified_override,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,76.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2009,Université du Luxembourg,72000000.0,EUR,euro,verified_override,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2010,Université du Luxembourg,72000000.0,EUR,euro,verified_override,budget-de-l-etat-2010.pdf,79.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2011,Université du Luxembourg,87600000.0,EUR,euro,verified_override,budget-de-l-etat-2011.pdf,73.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2012,Université du Luxembourg,101666674.0,EUR,euro,verified_override,budget-de-l-etat-2012.pdf,70.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2013,Université du Luxembourg,114000000.0,EUR,euro,verified_override,budget-de-l-etat-2013.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,Université du Luxembourg,128694000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,78.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2015,Université du Luxembourg,145435000.0,EUR,euro,verified_override,budget-de-l-etat-2015.pdf,78.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2016,Université du Luxembourg,147136500.0,EUR,euro,verified_override,budget-de-l-etat-2016.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2017,Université du Luxembourg,157467500.0,EUR,euro,verified_override,budget-de-l-etat-2017.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2018,Université du Luxembourg,156887500.0,EUR,euro,verified_override,budget-de-l-etat-2018.pdf,88.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2019,Université du Luxembourg,184910000.0,EUR,euro,verified_override,2019budget-de-l-Etat.pdf,85.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2020,Université du Luxembourg,198130000.0,EUR,euro,verified_override,budget-de-l-Etat-2020.pdf,81.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2021,Université du Luxembourg,215600000.0,EUR,euro,verified_override,budget-de-l-Etat-2021.pdf,97.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2022,Université du Luxembourg,220670000.0,EUR,euro,verified_override,budget-de-l-Etat-2022.pdf,91.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2023,Université du Luxembourg,223950000.0,EUR,euro,verified_override,budget-de-l-etat-2023.pdf,89.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2024,Université du Luxembourg,238180000.0,EUR,euro,verified_override,budget-de-letat-2024.pdf,200.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2025,Université du Luxembourg,249632000.0,EUR,euro,verified_override,budget-de-letat-2025.pdf,191.0,verified_against_original_page,Locked manual verification against original PDF page.
