canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1993,1993_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),300.0,Science and Research,0,281,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1993,1993_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,289,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1994,1994_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),50.0,Science and Research,0,320,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1995,1995_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),100.0,Science and Research,0,350,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1995,1995_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),134848.634,Science and Research,0,361,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1996,1996_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,407,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1996,1996_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),20.0,Universities,0,423,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1996,1996_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),0.0,Science and Research,0,459,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1997,1997_Austria_proposal.pdf,Beitrag zur Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,495,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1997,1997_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,506,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1997,1997_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),0.0,Science and Research,0,542,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1997,1997_Austria_proposal.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),50.0,Science and Research,0,550,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1998,1998_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,597,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1999,1999_Austria.pdf,Bundesbeitrag Christian Doppler Forschungsgesellschaft (CD-Labor),,Science and Research,0,640,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,1999,1999_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),50.0,Science and Research,0,659,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2000,2000_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),0.0,Science and Research,0,675,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2001,2001_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science,0,753,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2001,2001_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),15.0,Science and Research,0,770,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2002,2002_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science,0,829,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2003,2003_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science,0,869,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2004,2004_Austria.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science,0,902,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2005,2005 Anlagen COO_2026_100_2_151164.pdf,Mittel für die Christian Doppler Forschungsgesellschaft (CD-Labor),50.0,Science,0,924,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2006,2006 Anlagen COO_2026_100_2_189726.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Science,0,959,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2007,2007 Anlagen COO_2026_100_2_342682.pdf,CD-Labor - Christian Doppler Forschungsgesellschaft,,Science and Research,0,1000,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2008,2008 Anlagen COO_2026_100_2_342695.pdf,CD-Labor - Christian Doppler Forschungsgesellschaft,,Science and Research,0,1038,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2009,2009 Anlagen COO_2026_100_2_539063.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),0.0,Science and Research,0,1054,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2010,2010 Anlagen COO_2026_100_2_539074.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),0.002,Science and Research,0,1079,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2011,2011 Anlagen COO_2026_100_2_642644.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),20.0,Science and Research,0,1108,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2013,2013 Anlagen COO_2026_100_2_820081.pdf,CD-Labor (Christian Doppler Forschungsgesellschaft),,Economy,0,1193,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2016,2016 Anlagen COO_2026_100_2_1160018.pdf,CD-Labor - Christian Doppler Forschungsgesellschaft,,Economy,0,1286,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2020,2020 Anlagen COO_2026_100_2_1750563.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Economy,0,1451,True
Christian Doppler Forschungsgesellschaft (CD-Labor),science_agency,2025,2025 Anlagen_0001_60D0FD25_F712_413E_A4F6_F1E3DAA846F4.pdf,Christian Doppler Forschungsgesellschaft (CD-Labor),,Innovation and Technology (Research),0,1681,True
ESA-Beitrag (Austria),direct_rd,1977,1977_Austria.pdf,ESA-Beitrag,,Science and Research,0,55,True
ESA-Beitrag (Austria),direct_rd,1983,1983_Austria.pdf,ESA-Beitrag,,Science,0,121,True
ESA-Beitrag (Austria),direct_rd,1988,1988_Austria.pdf,ESA-Beitrag,,Science and Research,0,171,True
ESA-Beitrag (Austria),direct_rd,1990,1990_Austria.pdf,ESA-Beitrag,1.5,Science and Research,0,196,True
ESA-Beitrag (Austria),direct_rd,1990,1990_Austria.pdf,ESA-Beitrag,0.001,Science and Research,0,202,True
ESA-Beitrag (Austria),direct_rd,1991,1991_Austria_proposal.pdf,ESA-Beitrag,0.07,Science and Research,0,235,True
ESA-Beitrag (Austria),direct_rd,1992,1992_Austria.pdf,ESA-Beitrag,50.0,Science and Research,0,261,True
ESA-Beitrag (Austria),direct_rd,1996,1996_Austria_proposal.pdf,ESA-Beitrag,,Science and Research,0,409,True
ESA-Beitrag (Austria),direct_rd,1996,1996_Austria_proposal.pdf,ESA-Beitrag,1454.1,Research and Science,0,471,True
ESA-Beitrag (Austria),direct_rd,1997,1997_Austria_proposal.pdf,Beitrag zur ESA (Europäische Weltraumorganisation),,Science and Research,0,501,True
ESA-Beitrag (Austria),direct_rd,1997,1997_Austria_proposal.pdf,ESA-Beitrag,,Science and Research,0,508,True
ESA-Beitrag (Austria),direct_rd,1997,1997_Austria_proposal.pdf,ESA-Beitrag,132.0,Science and Research,0,514,True
ESA-Beitrag (Austria),direct_rd,1997,1997_Austria_proposal.pdf,ESA-Beitrag,0.0,Science and Research,0,544,True
ESA-Beitrag (Austria),direct_rd,1997,1997_Austria_proposal.pdf,ESA-Beitrag,,Research and Science,0,561,True
ESA-Beitrag (Austria),direct_rd,1998,1998_Austria.pdf,ESA-Beitrag,,Science and Research,0,599,True
ESA-Beitrag (Austria),direct_rd,1999,1999_Austria.pdf,ESA-Beitrag,,Science and Research,0,648,True
ESA-Beitrag (Austria),direct_rd,1999,1999_Austria.pdf,ESA-Beitrag,15.0,Science and Research,0,661,True
ESA-Beitrag (Austria),direct_rd,2000,2000_Austria.pdf,ESA-Beitrag,0.0,Science and Research,0,677,True
ESA-Beitrag (Austria),direct_rd,2001,2001_Austria.pdf,ESA-Beitrag,,Science,0,755,True
