canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Institute of the Lithuanian Language,science_agency,2011,2011 TAR.FE51590E2B56.docx,Lietuvių kalbos institutas,130.0,iš jų:,2,101,True
Institute of the Lithuanian Language,science_agency,2017,2017 XIII-177.docx,Lietuvių kalbos institutas,29.0,iš jų:,2,95,True
Institute of the Lithuanian Language,science_agency,2018,2018 XIII-868.docx,Lietuvių kalbos institutas,29.0,iš jų:,2,74,True
Institute of the Lithuanian Language,science_agency,2019,2019 XIII-1710.docx,Lietuvių kalbos institutas,29.0,iš jų:,2,72,True
Institute of the Lithuanian Language,science_agency,2020,2020 XIII-2695.docx,Lietuvių kalbos institutas,29.0,iš jų:,2,68,True
Institute of the Lithuanian Language,science_agency,2022,2022 XIV-745.docx,Lietuvių kalbos institutas,1732.0,iš jų:,1,93,True
Institute of the Lithuanian Language,science_agency,2023,2023 XIV-1556.docx,Lietuvių kalbos institutas,2108.0,iš jų:,1,92,True
Institute of the Lithuanian Language,science_agency,2024,2024 XIV-2297.docx,Lietuvių kalbos institutas,2960.0,iš jų:,1,94,True
Institute of the Lithuanian Language,science_agency,2025,2025 XV-89.docx,Lietuvių kalbos institutas,3805.0,iš jų:,2,94,True
Kaunas University of Medicine,higher_education,2009,2009 TAR.D641C5B5ADFD.docx,Kauno medicinos universitetas,30000.0,iš jų:,2,92,True
Kaunas University of Medicine,higher_education,2010,2010 TAR.E5C7DCAD90FA.docx,Kauno medicinos universitetas,32630.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,92,True
Kaunas University of Technology,higher_education,2009,2009 TAR.D641C5B5ADFD.docx,Kauno technologijos universitetas,35000.0,iš jų:,2,86,True
Kaunas University of Technology,higher_education,2010,2010 TAR.E5C7DCAD90FA.docx,Kauno technologijos universitetas,37730.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,86,True
Kaunas University of Technology,higher_education,2011,2011 TAR.FE51590E2B56.docx,Kauno technologijos universitetas,42000.0,iš jų:,2,87,True
Kaunas University of Technology,higher_education,2017,2017 XIII-177.docx,Kauno technologijos universitetas,300.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,97,True
Kaunas University of Technology,higher_education,2018,2018 XIII-868.docx,Kauno technologijos universitetas,341.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI)",1,90,True
Kaunas University of Technology,higher_education,2019,2019 XIII-1710.docx,Kauno technologijos universitetas,179.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,91,True
Kaunas University of Technology,higher_education,2020,2020 XIII-2695.docx,Kauno technologijos universitetas,31.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,87,True
Kaunas University of Technology,higher_education,2022,2022 XIV-745.docx,Kauno technologijos universitetas,42636.0,iš jų:,1,80,True
Kaunas University of Technology,higher_education,2023,2023 XIV-1556.docx,Kauno technologijos universitetas,51594.0,iš jų:,1,79,True
Kaunas University of Technology,higher_education,2024,2024 XIV-2297.docx,Kauno technologijos universitetas,62901.0,iš jų:,1,81,True
Kaunas University of Technology,higher_education,2025,2025 XV-89.docx,Kauno technologijos universitetas,79584.0,iš jų:,2,81,True
Klaipeda University,higher_education,2009,2009 TAR.D641C5B5ADFD.docx,Klaipėdos universitetas,15000.0,iš jų:,2,88,True
Klaipeda University,higher_education,2010,2010 TAR.E5C7DCAD90FA.docx,Klaipėdos universitetas,15150.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,88,True
Klaipeda University,higher_education,2011,2011 TAR.FE51590E2B56.docx,Klaipėdos universitetas,18000.0,iš jų:,2,89,True
Klaipeda University,higher_education,2017,2017 XIII-177.docx,Klaipėdos universitetas,0.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,99,True
Klaipeda University,higher_education,2018,2018 XIII-868.docx,Klaipėdos universitetas,0.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO 
ORGANIZACIJOS (INSTITUTAI)",1,92,True
Klaipeda University,higher_education,2019,2019 XIII-1710.docx,Klaipėdos universitetas,0.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,93,True
Klaipeda University,higher_education,2020,2020 XIII-2695.docx,Klaipėdos universitetas,0.0,"V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) V. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,89,True
Klaipeda University,higher_education,2022,2022 XIV-745.docx,Klaipėdos universitetas,9368.0,iš jų:,1,82,True
Klaipeda University,higher_education,2023,2023 XIV-1556.docx,Klaipėdos universitetas,12180.0,iš jų:,1,81,True
Klaipeda University,higher_education,2024,2024 XIV-2297.docx,Klaipėdos universitetas,15469.0,iš jų:,1,83,True
Klaipeda University,higher_education,2025,2025 XV-89.docx,Klaipėdos universitetas,20266.0,iš jų:,2,83,True
Lithuanian Academy of Music and Theatre,higher_education,2009,2009 TAR.D641C5B5ADFD.docx,Lietuvos muzikos ir teatro akademija,2100.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",1,163,True
