country,year,issue_type,issue_label,missing_agency_years,outlier_agency_years,actions,gap_subtypes,agencies,run_docs_for_year,zero_row_docs_for_year,queue_source_files,run_source_files,diagnosis_excerpt,criticality_rank,criticality_score,severity
Canada,2006,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Assisted Human Reproduction Agency of Canada,15,0,,Appropriation Act 2006-07 C38.pdf | Appropriation Act 2006-07 C39 Project.pdf | Appropriation Act 2006-07 C48 Project.pdf | Appropriation Act 2006-07 C49 Project.pdf | Appropriation Act 2006-07 C8 Project.pdf,"Amount 9,022,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2007,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Assisted Human Reproduction Agency of Canada,9,0,,Appropriation Act 2007-08 C35 Project.pdf | Appropriation Act 2007-08 C50 Project.pdf | Appropriation Act 2007-08 C60 Project.pdf,"Amount 12,834,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2008,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Assisted Human Reproduction Agency of Canada,15,0,,Appropriation Act 2008-09 C12.pdf | Appropriation Act 2008-09 C21.pdf | Appropriation Act 2008-09 C49 Project.pdf | Appropriation Act 2008-09 C58 Project.pdf | Appropriation Act 2008-09 C59 Project.pdf,"Amount 11,783,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2009,outlier_or_unit_break,Outlier or unit/currency break,0,2,verify,,AECL / Canadian Nuclear Laboratories | Assisted Human Reproduction Agency of Canada,12,0,,Appropriation Act 2009-10 C22.pdf | Appropriation Act 2009-10 C48.pdf | Appropriation Act 2009-10 C49.pdf | Appropriation Act 2009-10 C6.pdf,"Amount 4,306,411,000 outside expected range [-2,773,790,108 – 3,791,192,810] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 9,922,840 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2010,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Assisted Human Reproduction Agency of Canada,3,0,,Appropriation Act 2010-11 C44.pdf | Appropriation Act 2010-11 C45.pdf | Appropriation Act 2010-11 C7.pdf,"Amount 9,929,142 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2011,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Assisted Human Reproduction Agency of Canada,4,0,,Appropriation Act 2011-12 C29.pdf | Appropriation Act 2011-12 C34.pdf | Appropriation Act 2011-12 C8.pdf | Appropriation Act 2011-12 C9.pdf,"Amount 9,925,968 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2012,outlier_or_unit_break,Outlier or unit/currency break,0,3,verify,,Assisted Human Reproduction Agency of Canada | Canadian Nuclear Safety Commission | Canadian Polar Commission,5,0,,Appropriation Act 2012-13 C35.pdf | Appropriation Act 2012-13 C40.pdf | Appropriation Act 2012-13 C41.pdf | Appropriation Act 2012-13 C50.pdf | Appropriation Act 2012-13 C58.pdf,"Amount 471,974,417 outside expected range [-2,752,500 – 3,670,000] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 9,925,968 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error. | Amount 1,007,136,388 outside expected range [-241,260,614 – 321,680,818] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2013,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian Nuclear Safety Commission,5,0,,Appropriation Act 2013-14 C19.pdf | Appropriation Act 2013-14 C28.pdf | Appropriation Act 2013-14 C59.pdf | Appropriation Act 2013-14 C63.pdf | Appropriation Act 2013-14 C64.pdf,"Amount 914,428,199 outside expected range [-241,260,614 – 321,680,818] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2014,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian Polar Commission,5,0,,Appropriation Act 2014-15 C29.pdf | Appropriation Act 2014-15 C38.pdf | Appropriation Act 2014-15 C39.pdf | Appropriation Act 2014-15 C45.pdf | Appropriation Act 2014-15 C54.pdf,"Amount 150,633,087 outside expected range [-2,752,500 – 3,670,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2017,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,5,0,,Appropriation Act 2017-18 C41.pdf | Appropriation Act 2017-18 C53.pdf | Appropriation Act 2017-18 C54.pdf | Appropriation Act 2017-18 C67.pdf | Appropriation Act 2017-18 C72.pdf,"Amount 21,591,765 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
