year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2007,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,552084349.0,euro,EUR,verified_override,Lei orcamento para 2007.pdf,86,Data/input/finance_bills/Portugal/Lei orcamento para 2007.pdf,,FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA,verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA V / 2007 autonomous-services table)
2007,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,31002012.0,euro,EUR,verified_override,Lei orcamento para 2007.pdf,95,Data/input/finance_bills/Portugal/Lei orcamento para 2007.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2007 deterministic page-aligned parser)
2009,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2009,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,654236704.0,euro,EUR,verified_override,Lei orcamento para 2009.pdf,104,Data/input/finance_bills/Portugal/Lei orcamento para 2009.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2009 autonomous-services table)
2009,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,34204446.0,euro,EUR,verified_override,Lei orcamento para 2009.pdf,102,Data/input/finance_bills/Portugal/Lei orcamento para 2009.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2009 deterministic page-aligned parser)
2010,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,501451988.0,euro,EUR,verified_override,Lei orcamento para 2010.pdf,90,Data/input/finance_bills/Portugal/Lei orcamento para 2010.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2010 autonomous-services table)
2010,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,38977133.0,euro,EUR,verified_override,Lei orcamento para 2010.pdf,89,Data/input/finance_bills/Portugal/Lei orcamento para 2010.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2010 deterministic page-aligned parser)
2011,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2011,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,82335508.0,euro,EUR,verified_override,Lei orcamento para 2011.pdf,94,Data/input/finance_bills/Portugal/Lei orcamento para 2011.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2011 deterministic page-aligned parser)
