year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2011,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,12387747000000.0,colon,CRC,verified_override,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,440,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2011,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2011,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,
2011,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; manual override from original Costa Rica budget file; sede regional limon transfer on page 428
2012,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,26000000000.0,colon,CRC,verified_override,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,144,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2013,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file; fondo de incentivos transfer on tomo 5 page 96
2013,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,manual override from original Costa Rica budget file
2013,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,4043611000000.0,colon,CRC,verified_override,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,161,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file; program total for investigacion agropecuaria on tomo 2 page 161; replaces prior double-counted summary
2013,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,
2013,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of sede regional limon transfer 6,400,000 on tomo 2 page 151 and convenio CITA-MAG transfer 40,900,000 on tomo 5 page 96"
